Rank,Country,GDP_Short,GDP_Full_USD,GDP_Growth_Percent,GDP_per_Capita_USD
1,United States,32380000000000.004,323839200000002.0,2.32,94430.0
2,China,20850000000000.0,208515930000004.0,4.41,14874.0
3,Germany,5450000000000.0,54528580000000.0,0.79,65303.0
4,Japan,4380000000000.0,43792530000000.0,0.72,35703.0
5,United Kingdom,4260000000000.0,42647940000000.0,0.8,61056.0
6,India,4150000000000.0005,41531910000006.0,6.48,2813.0
7,France,3600000000000.0,35960940000000.0,0.86,52083.0
8,Italy,2740000000000.0,27381640000000.0,0.52,46505.0
9,Russia,2660000000000.0,26564520000001.0,1.09,18525.0
10,Brazil,2640000000000.0,26359120000001.0,1.91,12313.0
11,Canada,2510000000000.0,25073400000001.0,1.5,60305.0
12,Australia,2120000000000.0,21239630000002.0,2.01,75648.0
13,Mexico,2120000000000.0,21208550000001.0,1.64,15779.0
14,Spain,2089999999999.9998,20912220000002.0,2.09,41563.0
15,South Korea,1930000000000.0,19310080000001.0,1.86,37412.0
16,Turkey,1640000000000.0,16402230000003.0,3.37,19018.0
17,Indonesia,1540000000000.0,15398720000004.0,4.95,5362.0
18,Netherlands,1450000000000.0,14497040000001.0,1.23,79918.0
19,Saudi Arabia,1390000000000.0,13886760000003.0,3.12,37811.0
20,Switzerland,1150000000000.0,11469110000001.0,1.34,126177.0
21,Poland,1130000000000.0,11342480000003.0,3.32,31336.0
22,Taiwan,976720000000.0,9767190000005.0,5.18,42103.0
23,Ireland,779380000000.0,7793810000002.0,2.52,140186.0
24,Belgium,776730000000.0,7767300000000.0,0.66,65112.0
25,Sweden,760480000000.0,7604810000001.0,1.96,70676.0
26,Israel,719850000000.0,7198480000003.0,3.53,69804.0
27,Argentina,688380000000.0,6883780000003.0,3.5,14357.0
28,Singapore,659570000000.0,6595720000003.0,3.51,107758.0
29,Austria,623720000000.0,6237190000000.0,0.68,67761.0
30,United Arab Emirates,621550000000.0,6215460000003.0,3.14,54214.0
31,Norway,599410000000.0,5994060000001.0,1.48,105877.0
32,Thailand,580000000000.0,5799960000001.0,1.5,8105.0
33,Colombia,539530000000.0,5395300000002.0,2.34,10104.0
34,Vietnam,527270000000.0,5272660000007.0,7.1,5115.0
35,Malaysia,516429999999.99994,5164280000004.0,4.7,15085.0
36,Philippines,512220000000.0,5122220000004.0,4.07,4443.0
37,Bangladesh,510700000000.0,5107050000004.0,4.69,2911.0
38,Denmark,503770000000.0,5037720000002.0,2.0,83445.0
39,Romania,480830000000.0,4808340000000.0,0.69,25693.0
40,South Africa,479960000000.0,4799640000001.0,1.05,7503.0
41,Hong Kong,450140000000.0,4501380000002.0,2.42,59640.0
42,Czech Republic (Czechia),432600000000.0,4325970000002.0,2.23,39795.0
43,Egypt,429640000000.0,4296450000004.0,4.24,3904.0
44,Chile,407850000000.0,4078500000002.0,2.4,20240.0
45,Pakistan,407790000000.0,4077860000003.0,3.09,1696.0
46,Peru,380900000000.0,3809000000002.0,2.82,10960.0
47,Portugal,380640000000.0,3806370000001.0,1.93,35434.0
48,Nigeria,377370000000.0,3773650000004.0,4.06,1556.0
49,Kazakhstan,360460000000.0,3604560000004.0,4.61,17503.0
50,Finland,337670000000.0,3376690000001.0,1.05,60130.0
51,Algeria,317170000000.0,3171730000003.0,3.78,6628.0
52,Greece,307550000000.0,3075540000001.0,1.8,29696.0
53,Iran,300290000000.0,300293000000.0,-6.07,3415.0
54,New Zealand,278640000000.0,2786360000002.0,2.13,52023.0
55,Hungary,271120000000.0,2711220000001.0,1.66,28430.0
56,Iraq,264779999999.99997,264784000000.0,-6.77,5677.0
57,Ukraine,225340000000.0,2253370000002.0,2.0,6980.0
58,Qatar,217420000000.0,217416000000.0,-8.65,68138.0
59,Cuba,201990000000.0,201985998168.0,-1.93,18329.0
60,Morocco,194330000000.0,1943330000004.0,4.87,5107.0
61,Uzbekistan,181500000000.0,1815020000006.0,6.47,4661.0
62,Kuwait,172920000000.0,172920000000.0,-0.56,33164.0
63,Slovakia,168900000000.0,1688970000000.0,0.6,31242.0
64,Angola,152350000000.0,1523540000002.0,2.29,3754.0
65,Bulgaria,148120000000.0,1481210000002.0,2.77,23848.0
66,Kenya,147260000000.0,1472650000004.0,4.47,2714.0
67,Ecuador,138190000000.0,1381940000002.0,2.51,7575.0
68,Dominican Republic,136150000000.0,1361480000003.0,3.72,12406.0
69,Puerto Rico,129009999999.99998,129012000000.0,-0.1,40650.0
70,Guatemala,128889999999.99998,1288860000003.0,3.94,6810.0
71,DR Congo,123410000000.0,1234060000005.0,5.9,1122.0
72,Ethiopia,121530000000.0,1215270000009.0,9.2,1081.0
73,Ghana,118290000000.0,1182930000004.0,4.75,3314.0
74,Oman,117180000000.0,1171760000003.0,3.45,21645.0
75,Croatia,116570000000.0,1165740000002.0,2.64,30030.0
76,Côte d'Ivoire,112110000000.0,1121150000006.0,6.2,3313.0
77,Serbia,112030000000.0,1120250000002.0,2.83,17252.0
78,Venezuela,111300000000.0,1113030000004.0,4.04,4140.0
79,Luxembourg,110420000000.0,1104170000001.0,1.59,158733.0
80,Costa Rica,109930000000.0,1099310000003.0,3.56,20299.0
81,Lithuania,105910000000.0,1059070000002.0,2.91,36545.0
82,Belarus,102040000000.0,1020420000001.0,1.22,11286.0
83,Sri Lanka,98960000000.0,989640000005.0,5.01,4516.0
84,Uruguay,96090000000.0,960920000001.0,1.8,27608.0
85,Panama,95020000000.0,950240000003.0,3.84,20564.0
86,Tanzania,94890000000.0,948890000005.0,5.94,1362.0
87,Slovenia,86730000000.0,867320000002.0,2.0,40630.0
88,Myanmar,83830000000.0,838320000003.0,3.0,1519.0
89,Turkmenistan,83060000000.0,830650000002.0,2.6,12300.0
90,Bolivia,80740000000.0,80743000000.0,-3.29,6333.0
91,Azerbaijan,78370000000.0,783720000002.0,2.22,7467.0
92,Uganda,73370000000.0,733700000007.0,7.51,1476.0
93,Cameroon,65140000000.0,651350000003.0,3.34,2125.0
94,Jordan,64910000000.0,649090000002.0,2.75,5601.0
95,Tunisia,60740000000.0,607450000002.0,2.11,4893.0
96,Paraguay,60540000000.0,605420000004.0,4.2,9372.0
97,Zimbabwe,56710000000.0,567130000004.0,4.97,3199.0
98,Macao,54230000000.0,542280000002.0,2.99,76446.0
99,Latvia,53690000000.0,536860000002.0,2.22,28913.0
100,Libya,52450000000.0,524530000006.0,6.72,6962.0
101,Cambodia,52380000000.0,523790000004.0,4.02,2902.0
102,Estonia,51630000000.0,516340000001.0,1.43,37718.0
103,Bahrain,48850000000.0,48849000000.0,-0.5,29569.0
104,Nepal,45840000000.0,458440000002.0,2.96,1548.0
105,Cyprus,45170000000.0,451710000002.0,2.95,45409.0
106,Sudan,44690000000.0,446880000000.0,0.71,864.0
107,Iceland,43800000000.0,438000000001.0,1.9,110048.0
108,Georgia,42720000000.0,427160000005.0,5.31,11574.0
109,Honduras,41510000000.0,415050000003.0,3.3,3711.0
110,Zambia,41240000000.0,412430000004.0,4.29,1831.0
111,Senegal,40470000000.0,404690000002.0,2.17,2054.0
112,El Salvador,39840000000.0,398380000003.0,3.3,6196.0
113,Haiti,39180000000.0,39180000000.0,-1.7,3079.0
114,Bosnia and Herzegovina,36770000000.0,367710000002.0,2.2,10701.0
115,Lebanon,34500000000.0,344970000004.0,4.0,6443.0
116,Papua New Guinea,34400000000.0,344030000003.0,3.75,2632.0
117,Guyana,33960000000.0,3396100000016.0,16.17,33167.0
118,Mali,33850000000.0,338470000005.0,5.5,1301.0
119,Albania,33330000000.0,333333120003.0,3.41,12493.0
120,Burkina Faso,32509999999.999996,325130000004.0,4.86,1319.0
121,Armenia,31870000000.0,318730000005.0,5.3,10410.0
122,Malta,30710000000.0,307120000003.0,3.7,53560.0
123,Guinea,29930000000.0,299300000008.0,8.68,1848.0
124,Mongolia,28450000000.0,284500000005.0,5.26,7853.0
125,Benin,27790000000.0,277860000006.0,6.97,1809.0
126,Trinidad and Tobago,26840000000.0,268360000000.0,0.77,18616.0
127,Chad,25630000000.0,256280000005.0,5.23,1315.0
128,Niger,24810000000.0,248130000006.0,6.73,822.0
129,Nicaragua,24230000000.0,242270000003.0,3.84,3559.0
130,Kyrgyzstan,23610000000.0,236060000006.0,6.08,3202.0
131,Gabon,23360000000.0,233630000002.0,2.67,9918.0
132,Mozambique,23270000000.0,232750000000.0,0.52,632.0
133,Jamaica,23030000000.0,23028000000.0,-1.15,8356.0
134,Botswana,21940000000.0,219370000004.0,4.75,8490.0
135,Moldova,21890000000.0,218890000001.0,1.9,9354.0
136,North Macedonia,21610000000.0,216050000003.0,3.1,11967.0
137,Madagascar,21180000000.0,211850000003.0,3.64,656.0
138,Tajikistan,20420000000.0,204180000006.0,6.0,1939.0
139,Syria,19990000000.0,19993439950.0,-1.21,847.0
140,Afghanistan,19660000000.0,196620000003.0,3.0,448.0
141,Laos,18960000000.0,189590000004.0,4.01,2403.0
142,Malawi,18150000000.0,181520000002.0,2.23,733.0
143,Rwanda,17340000000.0,173360000007.0,7.23,1198.0
144,Namibia,17310000000.0,173140000002.0,2.4,5573.0
145,Mauritius,17120000000.000002,171190000003.0,3.4,13812.0
146,Bahamas,17040000000.0,170420000002.0,2.1,40892.0
147,Congo,17030000000.000002,170280000002.0,2.84,2554.0
148,Brunei,16860000000.0,168630000002.0,2.6,36288.0
149,North Korea,16450000000.0,164466322903.0,2903.06,640.0
150,Mauritania,14350000000.0,143520000004.0,4.42,3033.0
151,Somalia,14170000000.0,141740000002.0,2.6,813.0
152,Equatorial Guinea,13720000000.0,13722000000.0,-2.69,8152.0
153,State of Palestine,13710000000.0,13711000000.0,-26.6,2443.0
154,Togo,13440000000.0,134370000005.0,5.0,1341.0
155,Montenegro,10230000000.0,102270000002.0,2.8,16377.0
156,New Caledonia,10140000000.0,10139988153.0,-0.41,34981.0
157,Monaco,10000000000.0,99953505475.0,5475.04,256581.0
158,Liechtenstein,9440000000.0,9442000000.0,-0.4,226809.0
159,Bermuda,8980000000.0,89802000002.0,2.11,138935.0
160,Barbados,8480000000.0,84830000002.0,2.46,29020.0
161,Sierra Leone,8270000000.0,82700000004.0,4.55,919.0
162,Burundi,8140000000.000001,81370000003.0,3.82,546.0
163,Maldives,8130000000.000001,81300000003.0,3.02,19464.0
164,Yemen,7430000000.0,74350000000.0,0.51,384.0
165,Isle of Man,7430000000.0,7431257411.0,-4.17,88329.0
166,Cayman Islands,7140000000.0,71394285584.0,5584.36,97750.0
167,Guam,6910000000.0,69100000005.0,5.1,41833.0
168,French Polynesia,6400000000.0,64022212223.0,2223.0,22774.0
169,Fiji,6350000000.0,63520000002.0,2.43,6802.0
170,South Sudan,6070000000.0,60690000004.0,4.14,488.0
171,Suriname,5910000000.0,59080000003.0,3.93,8856.0
172,Eswatini,5790000000.0,57920000004.0,4.04,4927.0
173,Liberia,5640000000.0,56420000005.0,5.11,964.0
174,Andorra,4880000000.0,48790000002.0,2.1,53475.0
175,Djibouti,4720000000.0,47250000006.0,6.0,4421.0
176,U.S. Virgin Islands,4670000000.0,4672000000.0,-1.31,44321.0
177,Aruba,4670000000.0,46710000002.0,2.25,42862.0
178,Faeroe Islands,3910000000.0,39073239612.0,9612.49,71774.0
179,Bhutan,3860000000.0,38560000007.0,7.48,4867.0
180,Central African Republic,3490000000.0,34920000002.0,2.61,613.0
181,Belize,3450000000.0,34500000002.0,2.19,8134.0
182,Cabo Verde,3450000000.0,34480000004.0,4.79,6670.0
183,Greenland,3330000000.0,33265441740.0,1740.87,58499.0
184,Curaçao,3280000000.0,32814193474.0,3474.2,21062.0
185,Guinea-Bissau,2980000000.0,29850000004.0,4.9,1449.0
186,Lesotho,2970000000.0,29720000001.0,1.11,1241.0
187,Gambia,2790000000.0,27920000005.0,5.11,953.0
188,Saint Lucia,2770000000.0,27650000001.0,1.96,15135.0
189,San Marino,2420000000.0,24170000001.0,1.3,70187.0
190,Antigua and Barbuda,2380000000.0,23850000002.0,2.59,22448.0
191,Eritrea,2280000000.0,22752902162.0,2162.8,656.0
192,Seychelles,2250000000.0,22510000001.0,1.52,17675.0
193,Timor-Leste,2170000000.0,21700000004.0,4.1,1520.0
194,Solomon Islands,1840000000.0,18360000002.0,2.79,2258.0
195,Comoros,1810000000.0,18140000004.0,4.08,1951.0
196,Turks and Caicos,1750000000.0,17453780005.0,5.64,37507.0
197,Sint Maarten,1740000000.0,17352102283.0,2283.5,40028.0
198,British Virgin Islands,1510000000.0,15058561072.0,1072.76,38627.0
199,Grenada,1480000000.0,14830000003.0,3.11,12689.0
200,Vanuatu,1400000000.0,13960000003.0,3.53,4082.0
201,Samoa,1380000000.0,13760000003.0,3.21,6455.0
202,St. Vincent & Grenadines,1240000000.0,12360000003.0,3.0,11098.0
203,Sao Tome & Principe,1160000000.0,11610000003.0,3.4,4739.0
204,Saint Kitts & Nevis,1140000000.0,11430000002.0,2.04,22146.0
205,Northern Mariana Islands,1100000000.0,109600000016.0,16.64,23786.0
206,American Samoa,871000000.0,8710000001.0,1.74,18017.0
207,Dominica,791000000.0,7910000003.0,3.14,10459.0
208,Tonga,716000000.0,7160000002.0,2.32,7238.0
209,Saint Martin,649210000.0,6492061564.0,1564.9,21668.0
210,Micronesia,521000000.0,5210000000.0,0.67,5514.0
211,Anguilla,415740000.0,4157352842.0,2842.47,28850.0
212,Kiribati,401000000.0,4010000003.0,3.1,3051.0
213,Palau,377000000.0,3770000003.0,3.3,21571.0
214,Cook Islands,366210000.0,36621154819.0,54819.07,25750.0
215,Marshall Islands,342000000.0,3420000003.0,3.67,9677.0
216,Nauru,196000000.0,1960000002.0,2.13,16053.0
217,Montserrat,80430000.0,804296307.0,6307.29,18197.0
218,Tuvalu,65000000.0,650000002.0,2.54,6581.0
